TransactionID,CustomerID,TransactionDate,TransactionAmount,MerchantName,MerchantCategory,TransactionType,TransactionStatus
b082bcbe-32e6-4a73-90bd-698e874d3b60,398a69b2-e031-404e-9a09-4b5a799b9ea5,2024-02-06 20:21:33,665.4,"Robinson, Vazquez and Cohen",unleash cutting-edge schemas,Purchase,Declined
ab18707a-016d-465c-ad20-145ae1075bab,26a00f3f-0521-49eb-892e-055b6e5d18f6,2024-02-08 10:45:51,787.51,Reynolds Ltd,generate revolutionary methodologies,Refund,Declined
e37a8ada-d3d2-49ff-bd01-facbdb3b708c,6902350d-36ca-4e84-9261-ea510b431e3e,2024-06-12 23:47:43,448.89,Sherman LLC,drive B2B platforms,Refund,Declined
bf46e17c-c89c-43e7-b456-027d4bc0ed0d,1a9d026c-a87e-4d1d-af95-f8447ab86ea2,2024-01-19 02:15:22,492.36,Stokes-Marquez,transition granular mindshare,Purchase,Declined
6e197060-9eaa-40a4-b108-cdd08a3165c9,b50cae6b-250e-45e9-8c49-26429fe99d94,2024-02-07 17:34:08,883.09,"Garrett, Campbell and Thompson",enhance global synergies,Refund,Declined
6b660b12-4459-4487-accd-e16900f3e659,d9d7213e-9e35-4ef9-9d75-24d5fc9e9572,2024-06-29 17:33:00,975.86,"Novak, Miller and Ortiz",envisioneer value-added experiences,Refund,Declined
1edf3f84-36ab-42dc-9559-e50635a3f6d7,5a6f7543-c32d-4564-a79f-d9c29e7950b9,2024-05-29 05:38:11,963.98,"Hartman, Hancock and Richmond",scale synergistic portals,Purchase,Approved
7636dcf3-376d-4a34-a323-82090e844453,bd0c3ea0-46ff-468e-bbe6-fa4ab60688b4,2024-03-31 04:59:01,669.04,Gallegos and Sons,maximize robust experiences,Refund,Declined
eb7b79a8-b031-48ce-aaa7-fb7936ff8e80,4045d8e4-390a-4c2c-9646-c60f06302c4c,2024-03-17 08:32:01,231.39,Stevens-Johnson,exploit vertical models,Purchase,Approved
1353fb09-1eca-45f6-bf65-e80ef31fc828,9f427c3a-2b76-4c92-85c0-ca32877c217a,2024-02-11 05:53:54,401.8,Dickson-Jones,productize customized e-tailers,Purchase,Declined
35c8292e-8cc3-46ac-a044-c257aea7e57b,ebb27a5c-f8b6-41d6-b4ce-cccaa90efc4f,2024-04-23 13:37:17,552.52,"Wells, Hunt and Roth",strategize next-generation deliverables,Purchase,Declined
2f55d38b-edd9-4bce-943f-3791f99c138b,6ba29730-8cc1-4388-a846-2fd9662398d4,2024-01-24 23:55:01,628.42,Watson PLC,seize turn-key experiences,Purchase,Approved
7ce2ba8a-12c7-4e83-82c3-fe38ac3bc314,a8b23875-deb7-4efd-92f9-b25a2955a2e7,2024-06-11 14:51:34,567.79,"Walters, Wheeler and Hayes",architect robust systems,Refund,Approved
3c313c2f-0e4d-4042-b909-97273e626ae0,9789afc0-7ff4-4d4b-ad80-44cf5155f00e,2024-02-24 04:03:10,739.64,Davis Ltd,engage cross-platform systems,Purchase,Declined
ae00259b-d2a0-4027-a8fe-ecfe86b10689,5ed6a595-b9e5-4ed8-b2f6-f8a49ee50653,2024-04-01 19:38:57,544.15,"Boyer, Anderson and Cardenas",transform bricks-and-clicks mindshare,Purchase,Declined
d32d2c10-8185-4d97-adc3-bb2bfb99db76,41042337-6414-4522-ba15-330acb109e8d,2024-01-05 01:00:18,499.36,"Quinn, Reese and Schroeder",incubate value-added web-readiness,Refund,Approved
65c747ed-74fe-4abf-bf41-be6389876126,2b654f03-a5ad-4760-8baf-6fdbc1b73ec3,2024-01-22 00:10:36,161.38,"Sanchez, Simon and Sellers",leverage strategic experiences,Refund,Approved
79da2e86-04c5-44d2-9d90-6ac7c744436c,d6b35993-e256-413d-84b8-77c15e2a8044,2024-05-17 08:57:04,315.47,"Adams, Cruz and Lucero",mesh out-of-the-box channels,Refund,Declined
863ad2db-fc03-426d-b7fa-92ccc9c8c19f,de559eff-a691-4b60-b6dc-af9aea19c841,2024-04-20 10:29:08,553.62,Sullivan Group,strategize B2C e-services,Refund,Approved
5bf55224-26d7-4e85-8b6f-b10d660f8476,fa027788-f1d4-4632-befe-8b10d61e7319,2024-06-07 07:58:04,547.89,Cordova PLC,transform open-source platforms,Purchase,Declined
941b066a-359d-409f-9366-5dd55b0d6761,01d6e9a3-7d99-4224-aa23-d524a8371fc0,2024-03-11 05:41:52,136.48,Bradley-Johnson,reinvent e-business synergies,Purchase,Declined
d63da249-2ede-4cd9-8260-50287c7d1049,4c76c1bc-1ad3-48e2-b753-ebc8ed6418c8,2024-05-31 03:47:48,296.05,Miranda Inc,cultivate next-generation info-mediaries,Purchase,Approved
0d3e992a-4403-47d7-832e-b288e7909397,cde14d4a-5b92-4731-a3ab-64632eda293b,2024-04-22 02:37:26,878.92,"Dodson, Parker and Liu",brand dot-com vortals,Purchase,Declined
a0f096f3-db78-4bff-a247-bad85d19196e,fb5e57a6-d3e2-4c68-af19-999424802ae7,2024-01-15 01:03:30,567.98,Morton and Sons,matrix user-centric e-commerce,Purchase,Approved
babf9a1b-4017-4845-b1dc-672e4decda22,bd0318be-22cb-4153-ba0c-ba3770bb7531,2024-03-21 09:57:31,130.69,Ward-Johnson,incubate interactive content,Purchase,Declined
283bff38-1eae-4e80-a273-a355c34f1198,30573001-8aeb-4b21-bb3a-b02dacf27234,2024-01-20 05:23:25,674.85,"Everett, Lee and Peterson",innovate user-centric e-commerce,Refund,Declined
72654e0c-6ffe-4a4b-8faf-948c9c3a4041,c9a1555f-2bfc-4382-82b8-a48e57a6b61f,2024-02-03 01:12:46,859.48,Williams-Kaufman,grow synergistic web services,Refund,Declined
724295b8-04c3-4e38-b3ad-dd6846d5897a,df22d12f-0322-4ca8-b85a-e31d67aa3628,2024-06-17 13:20:13,420.52,White-Schmitt,reinvent collaborative e-commerce,Refund,Approved
7ef89f44-41bb-4f3d-bb2b-aa5e1b1428af,d5181c18-e2c0-46b2-a75a-7122b1d02f6c,2024-04-12 01:41:14,59.06,Mercer-Williams,unleash visionary metrics,Purchase,Approved
fe0d8b79-abcb-4c17-b422-56f40a2077cd,6fb34431-b7da-4004-b11c-32efa159c2f1,2024-03-03 12:20:20,443.02,"Ramirez, Garcia and Walker",exploit collaborative users,Purchase,Declined
6becae4b-b15a-4a62-91d4-001693ac86a4,f0a34175-acab-48c0-864a-e37183e6324c,2024-06-30 01:59:00,270.3,White-White,implement dynamic relationships,Purchase,Approved
1d45d6bd-aa3e-4bb0-b392-fa0301f37454,f93d5855-e25c-462b-a215-ce07f1ef54ef,2024-06-15 14:45:47,564.03,Pierce Ltd,mesh front-end interfaces,Refund,Declined
e5b8737b-4609-4fa1-8bb3-30826a3315d9,0a4d1537-3b58-4186-9eeb-bdd030496c41,2024-01-02 23:49:00,912.39,Munoz Group,embrace transparent schemas,Purchase,Declined
6a1f9643-1669-4bc4-83e4-076da83ccfa4,6afffde2-230c-42cf-8823-8ae7cc4f7e06,2024-04-16 09:36:04,155.72,Jones-Graves,engineer revolutionary vortals,Purchase,Declined
e6a737be-68ad-421d-ab6a-cd0f941220d0,51e360b6-34ce-4f66-838c-cefe99289d9e,2024-02-16 20:44:50,582.13,Mullins-Harper,enhance impactful synergies,Purchase,Approved
1ad3c30c-e78f-4a73-8333-52a4004d8f7e,987d0a57-f23a-447e-adda-9491df4b4320,2024-05-09 00:24:14,61.4,Boone Ltd,re-contextualize leading-edge content,Refund,Approved
35af9d05-43db-4322-9659-629ea9eecc2a,0ecb61de-e6c5-416b-b297-294a22b7fa65,2024-02-28 11:38:54,522.19,Garner-Mclean,strategize B2B e-tailers,Refund,Approved
